Python
Java
Data Analysis
Project Management
c++
django
html
css 
javascript
react
OpenCV
python
Adobe illustrator
Ethical Hacking
Machine Learning 
Artificial Intelligence
Java
R programming
C
C#.Net
VB.Net
Content strategy
SEO
Research
Tableau 
Data Analytics
XML
Linux 
UNIX 
Windows NT,2000 
Solaris
Visual Basic
CAD 
CAM
CRM 
ERP
SAP 
SCM 
PostgreSQL
MySQL 
SQLServer 
Access 
COBOL 
ASP 
Perl 
PHP 
Ubuntu 
Database Design and Construction 
Localization 
Testing 
Product Development 
Research and Development 
Programming
Detailed Design 
