0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Morgan Housel,James Clear,Héctor García,Gaur Gopal Das,Mark Manson,Yuval Noah Harari,Robert T. Kiyosaki,Daniel Kahneman,Benjamin Graham,Ashlee Vance,Barack Obama,Arthur Conan Doyle,Dale Carnegie,Tim Ferriss,Priyanka Chopra Jonas,Jay Shetty,Robert Hagstrom,Robert B. Cialdini,Paulo Coelho,Robin Sharma,Peter Thiel,David Goggins,Sadhguru,Chris Bailey,Yuval Noah Harari,Charles Duhigg,Jake Knapp,J.K. Rowling,Jeff Keller,Michelle Obama,Eric Jorgenson,Grant Cardone,Robin Sharma,Geoff Colvin,Jordan B. Peterson,Chris Voss,Amish Tripathi,Acharya Chanakya,Joseph Murphy,Douglas Adams,Robert T. Kiyosaki,Napoleon Hill,Harper Lee,Simon Sinek,Judson Brewer,Devdutt Pattanaik,Yuval Noah Harari,Shashi Tharoor,T. Harv Eker,Radhakrishnan Pillai
"7,998","17,495","12,784","6,930","45,563","31,418","4,530","17,782","22,044","8,812","19,363",10,"42,310","5,329","1,926","12,161",97,"7,208","50,470","11,124","8,382","32,891",1,528,"6,234","9,797","1,438","25,778","27,734","2,105","4,974","12,552",750,"32,623","15,122","6,446",138,"29,462","4,975","38,895","45,203","37,330","7,267",6,215,"9,304",591,"1,700",149,
